pair,start_year,end_year,timeframe,strategy,params,totalwin,totalloss,pnl_net,sqn,end_val,sharpe,drawdown
BTCUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 14, 'ema_period': 150}",52,43,1817.155614058811,1.26,101817.15561405878,,1.2417275928962346
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 15, 'long_period': 15, 'ema_period': 100}",53,32,159.24364628141313,1.26,100159.24364628144,,0.07282957513991613
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 15, 'ema_period': 150}",57,31,163.71897237433586,1.26,100163.71897237436,,0.08406386604132536
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 21, 'ema_period': 150}",54,31,163.06897237433668,1.25,100163.06897237431,,0.09049298323896832
BTCUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 22, 'long_period': 13, 'ema_period': 150}",53,41,1696.0556140588124,1.23,101696.05561405877,,1.3428048466616693
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 22, 'ema_period': 150}",57,34,162.53897237433637,1.23,100162.53897237436,,0.10295740477863143
DOGEUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 14, 'ema_period': 100}",49,32,0.007584622010492113,1.22,100000.00758462197,,4.042184634612603e-06
ADAUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 15, 'ema_period': 150}",57,33,0.05214653008571263,1.21,100000.05214653016,,3.550041790019506e-05
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 14, 'ema_period': 150}",60,33,160.80897237433555,1.21,100160.80897237438,,0.07998687221435624
BTCUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 21, 'long_period': 15, 'ema_period': 150}",53,41,1667.788958209363,1.18,101667.78895820933,,1.1344718890614083
ADAUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 14, 'ema_period': 150}",57,33,0.05124653008571256,1.18,100000.05124653013,,3.9600413233624294e-05
ADAUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 15, 'ema_period': 100}",52,31,0.04832620330259074,1.18,100000.04832620334,,2.8076088899100538e-05
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 15, 'long_period': 20, 'ema_period': 150}",56,33,155.42897237433624,1.18,100155.42897237437,,0.11677159527844658
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 13, 'long_period': 22, 'ema_period': 150}",55,35,154.15897237433717,1.17,100154.15897237434,,0.10061262533064011
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 21, 'ema_period': 150}",55,33,152.64897237433627,1.16,100152.64897237434,,0.10684649318379937
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 13, 'ema_period': 150}",59,34,162.21008825304693,1.15,100162.2100882531,,0.07672058634797337
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 22, 'ema_period': 150}",54,32,148.88897237433662,1.15,100148.88897237433,,0.09050579541911428
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 21, 'long_period': 22, 'ema_period': 150}",54,31,145.08897237433666,1.14,100145.08897237436,,0.08671691674578226
BTCUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 22, 'long_period': 15, 'ema_period': 150}",52,42,1589.6889582093681,1.12,101589.68895820936,,1.208034163442166
BTCUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 15, 'ema_period': 150}",53,44,1608.0889582093623,1.11,101608.08895820938,,1.0150125202065268
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 21, 'long_period': 14, 'ema_period': 150}",59,33,146.6989723743353,1.11,100146.69897237438,,0.07996523104786385
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 13, 'long_period': 21, 'ema_period': 150}",53,34,144.26897237433707,1.1,100144.26897237432,,0.10450199026278088
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 15, 'long_period': 13, 'ema_period': 50}",44,32,99.35981130655546,1.09,100099.35981130657,,0.03752661950030597
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 20, 'long_period': 20, 'ema_period': 150}",54,33,141.85897237433687,1.09,100141.85897237434,,0.09135078898708109
ADAUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 13, 'ema_period': 150}",59,31,0.04844653008571248,1.08,100000.04844653013,,3.440042047089033e-05
ADAUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 14, 'long_period': 14, 'ema_period': 100}",52,32,0.04413839583604412,1.08,100000.04413839584,,3.076242421020125e-05
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 21, 'long_period': 15, 'ema_period': 150}",54,32,141.12897237433594,1.08,100141.12897237438,,0.08406874889447384
ETHUSDT,2021,2022,1h,StochRSIStrategy,"{'short_period': 13, 'long_period': 13, 'ema_period': 100}",53,31,138.18573073025198,1.07,100138.18573073023,,0.07738068805788079
